item,start,end,deliverable
1,10/31/16,11/4/16,"R scripts thar read APSIM oputs, integrates them in to a single dataset and saves them in raw form into a .RData object"
2,11/1/16,11/7/16,"R scripst for data cleaning, tidyng ,munging"
3,11/7/16,11/21/16,Rmd script with the main data analysis and vizualization
4,11/21/16,12/1/16,R script with shiny app for DS tool
5,12/1/16,12/12/16,Rmd script with final presentation
